ENCODER TEXT , TRAINED WITH LSTM DROPOUT CAPTIONER EMBEDDINGS (EPOCH 30)

First input caption (eval) : ['<start>', 'four', 'bears', 'are', 'crossing', 'a', 'road', 'next', 'to', 'some', 'woods', '<end>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']
Correlated encoded image tf.Tensor(b'COCO_train2014_000000465559', shape=(), dtype=string)


First taeget Encoded Image (train)tf.Tensor([0. 0. 0. ... 0. 0. 0.], shape=(16384,), dtype=float32)

Initializing from scratch.

-------------  Starting 50 epoch's training for text encoder model  ------------

Saving model every 10 epochs at /workspace/checkpoints/encoder_text_lstm/

2020-12-04 03:02:56.671473: W tensorflow/core/grappler/optimizers/implementation_selector.cc:199] Skipping optimization due to error while loading function libraries: Invalid argument: Functions '__inference___backward_cudnn_gru_2616_2749' and '__inference___backward_cudnn_gru_2616_2749_specialized_for_StatefulPartitionedCall_at___inference_train_step_3485' both implement 'gru_dcac3d5e-2757-41f9-9e83-f9b7b31b754b' but their signatures do not match.
2020-12-04 03:02:56.822867: W tensorflow/compiler/jit/mark_for_compilation_pass.cc:1483] (One-time warning): Not using XLA:CPU for cluster because envvar TF_XLA_FLAGS=--tf_xla_cpu_global_jit was not set.  If you want XLA:CPU, either set that envvar, or use experimental_jit_scope to enable XLA:CPU.  To confirm that XLA is active, pass --vmodule=xla_compilation_cache=1 (as a proper command-line flag,
not via TF_XLA_FLAGS) or set the envvar XLA_FLAGS=--xla_hlo_profile.
2020-12-04 03:02:56.866859: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcublas.so.10.0
2020-12-04 03:02:57.196487: I tensorflow/stream_executor/platform/default/dso_loader.cc:42] Successfully opened dynamic library libcudnn.so.7
Epoch 1 Batch 0 Loss 3.9109
Epoch 1 Batch 100 Loss 3.4375
Epoch 1 Batch 200 Loss 3.5103
Epoch 1 Batch 300 Loss 3.5145
Epoch 1 Batch 400 Loss 3.5922
Epoch 1 Batch 500 Loss 3.6404
Epoch 1 Batch 600 Loss 3.5758
Epoch 1 Batch 700 Loss 3.6710
Epoch 1 Batch 800 Loss 3.7929
Epoch 1 Batch 900 Loss 3.8655
Epoch 1 Batch 1000 Loss 3.6533
Epoch 1 Batch 1100 Loss 3.5640
Epoch 1 Batch 1200 Loss 3.8134
Epoch 1 Batch 1300 Loss 3.4998
Epoch 1 Batch 1400 Loss 3.2641
Epoch 1 Batch 1500 Loss 3.5965
Epoch 1 Batch 1600 Loss 3.6665
Epoch 1 Batch 1700 Loss 3.5619
Epoch 1 Batch 1800 Loss 3.2144
Epoch 1 Batch 1900 Loss 3.9690
Epoch 1 Batch 2000 Loss 3.4844
Epoch 1 Batch 2100 Loss 3.5488
